,sample_id,# MS2 peaks,# MS3 peaks,# MS4 peaks,# MS5 peaks,Parent m/z,MA (lower est.),MA (upper est.),MA (mean est.),MA (est.),MA (MW est.),formula,MW,CAS,SMILES,Dataset,MA,Error
44,Alasdair-300MW/Sample_#28_Stepped_MS3,21,0,0,0,297.8596,9.199830142,14.98002606,12.06389341,"[ 9.19983014 13.0492259   9.21811625 13.90859979 12.03507249 10.91210126
 12.11016853 13.2885997  11.05262703 13.3042884  14.98002606 10.37453905
 10.43492397 12.15346923 12.45261163 13.31127138 11.62629425 11.97996075
 14.60240709 11.28373533]",20.38105445,C5H4BrIN2,298.9,381233-96-1,Nc1ncc(Br)cc1I,Alasdair,7,5.063893411
45,Alasdair-300MW/Sample_#28_Stepped_MS3,21,0,0,0,297.8596,9.199830142,14.98002606,12.06389341,"[ 9.19983014 13.0492259   9.21811625 13.90859979 12.03507249 10.91210126
 12.11016853 13.2885997  11.05262703 13.3042884  14.98002606 10.37453905
 10.43492397 12.15346923 12.45261163 13.31127138 11.62629425 11.97996075
 14.60240709 11.28373533]",20.38105445,C5H4BrIN2,298.9,381233-96-1,Nc1ncc(Br)cc1I,Alasdair,7,5.063893411
46,Alasdair-300MW/Sample_#29_Stepped_MS3,29,0,0,0,303.1674,16.47930887,22.69736567,18.9581057,"[17.7354574  17.65811599 17.50091265 16.51958514 18.67869608 19.98648024
 19.13320633 18.6309593  22.69736567 21.48898417 21.74429383 19.07220236
 19.05489308 16.47930887 20.50672719 17.13080741 18.26917635 17.8785588
 19.38065596 19.61572707]",20.8757583,C16H20BFN2O2,302.2,2246882-18-6,CC1(C)OB(c2cc(F)cc(Cn3ccnc3)c2)OC1(C)C,Alasdair,18,0.958105695
47,Alasdair-300MW/Sample_#9_Stepped_MS3,14,0,0,0,304.1266,16.98772679,22.9013141,19.81569952,"[20.25094076 21.08043393 21.26843539 18.90270686 21.36824484 19.23747968
 19.02569456 20.32800972 21.42854202 21.92633239 19.60622716 16.98772679
 17.82718104 18.15032587 18.43871027 22.70518851 22.9013141  17.42795667
 19.8037995  17.64874036]",20.65404306,C13H16F3N3O2,303.28,1031929-07-3,O=C(O)CCN1CCN(c2ccc(C(F)(F)F)cn2)CC1,Alasdair,15,4.815699521
48,Alasdair_MS5/Sample_#10_MS5,7,17,556,147,301.2671,15.54072031,20.17728991,17.45306601,"[18.66139246 17.39266497 15.54072031 16.42230326 17.20469232 18.79018611
 17.31542722 17.14882071 16.29215365 16.50975335 18.96452768 17.49068594
 16.06856948 18.37569051 20.17728991 17.6094629  18.18580475 17.35948001
 16.70271483 16.84897992]",21.95707737,C17H36N2S,300.554,109-40-0,CCCCCCCCNC(=S)NCCCCCCCC,Alasdair,8,9.453066014
49,Alasdair_MS5/Sample_#12_MS5,29,72,87,43,303.8788,8.182754599,13.30516811,10.73349681,"[10.28552331 12.74847712 10.40598041 12.27610549  9.19676412  9.32729384
 10.45291897 13.30516811 10.69554571 11.67252631 11.03955436 11.55660711
 11.01333918  9.78803147 10.37809788  8.1827546  12.42305667 10.30269882
  9.7141097   9.90538301]",21.45067183,C9H5Br2NO,302.95,521-74-4,Oc1c(Br)cc(Br)c2cccnc12,Alasdair,9,1.73349681
50,Alasdair_MS5/Sample_#14_MS5,11,66,47,25,302.0843,13.39274766,22.67355227,18.438163,"[22.67355227 19.47833046 19.8090308  20.73127875 19.0380398  18.01091214
 16.9629517  18.66925079 16.29136487 18.69139024 19.70263628 16.05730854
 13.39274766 20.68911984 15.15067097 19.17252414 16.32856267 21.41558653
 20.29841841 16.19958312]",21.61476205,C16H15NO3S,301.4,42399-49-5,COc1ccc([C@@H]2Sc3ccccc3NC(=O)[C@@H]2O)cc1,Alasdair,14,4.438162998
51,Alasdair_MS5/Sample_#15_MS5,123,138,11,0,296.2583,10.76063721,16.5004244,13.77758781,"[13.36263872 10.82815219 13.30631881 13.23988249 16.13374702 10.76063721
 13.92771829 11.97639041 14.15148322 16.10979217 14.12879387 14.70442925
 13.38728994 14.19392878 16.5004244  13.33894861 11.19425476 15.67957929
 15.4927908  13.13455597]",20.15218667,C10H20NO7P,297.2,89524-98-1,COC(=O)C(NC(=O)OC(C)(C)C)P(=O)(OC)OC,Alasdair,14,0.22241219
52,Alasdair_MS5/Sample_#17_MS5,47,125,88,559,303.0753,14.10299452,22.32674027,17.98355417,"[16.16767186 22.32674027 14.10299452 18.24351949 18.51789035 18.17432414
 18.75908327 15.75238864 19.58641478 15.84420584 15.12687413 19.63020779
 18.46419118 15.80364512 15.58771413 21.05987515 19.12379822 19.94634862
 17.52374805 19.92944777]",20.16425099,C10H14N4O5S,302.3,328028-19-9,NNc1ccc(S(=O)(=O)N2CCOCC2)cc1[N+](=O)[O-],Alasdair,15,2.983554166
53,Alasdair_MS5/Sample_#17_MS5,47,125,88,559,303.0753,14.10299452,22.32674027,17.98355417,"[16.16767186 22.32674027 14.10299452 18.24351949 18.51789035 18.17432414
 18.75908327 15.75238864 19.58641478 15.84420584 15.12687413 19.63020779
 18.46419118 15.80364512 15.58771413 21.05987515 19.12379822 19.94634862
 17.52374805 19.92944777]",20.16425099,C10H14N4O5S,302.3,328028-19-9,NNc1ccc(S(=O)(=O)N2CCOCC2)cc1[N+](=O)[O-],Alasdair,15,2.983554166
